"nom"
"Non communiqué (nc)"
"Instrument Européen de Voisinage (IEV)"
"Instrument Européen de Voisinage et de Partenariat (IEVP)"
"Aide Humanitaire (ECHO, fond d'urgence)"
"Facilité d'Investissement pour le Voisinage (Secteur privé)"
"Aide Macro Financière (AMF)"
"Instruments Thématiques"
"Voisinage et négociations sur l’élargissement"
"Instrument contribuant à la stabilité et la paix"
"Trust Fund (Fond Fiduciaire)"
"CSO-LA"
"FED"
"FOOD"
"NDICI"
"OSC-AL"
