"ID","nom"
,"Institutions Européennes"
,"Institutions d’un Etat-membre de l’Union européenne"
,"Institutions publiques malgaches"
,"Institutions de financement"
,"Autorités locales"
,"Organisations multilatérales"
,"ONGs internationales"
,"Organisations de la Société civile malgache"
,"Universités et Centres de recherche"
,"Entreprises du secteur privé"
,"Autre"
